id_pedido;hora;tiempo_atencion;error_pedido;num_clientes_en_cola;id_producto;id_metodo_pago;id_empleado
77;11;7.7;0;7;3;3;3
78;10;9.3;0;7;3;1;2
79;15;7.2;0;3;2;2;1
80;11;7.4;1;5;3;3;1
81;9;7.6;0;7;3;3;3
82;15;8.4;0;5;2;1;2
83;12;13.2;0;13;1;1;3
84;17;15.9;0;15;1;3;2
85;10;9.7;1;6;1;3;3
86;11;7.8;0;4;2;1;3
87;8;10.3;0;2;1;2;3
88;15;7.2;0;5;3;1;2
89;16;7.8;0;8;3;3;1
90;13;12.4;0;10;1;3;2
91;14;8.4;0;5;3;1;3
92;9;7.4;0;2;3;3;3
93;16;9.2;0;6;2;2;1
94;13;12.1;1;11;2;2;2
95;16;7.5;0;3;2;1;1
96;11;12.6;0;7;1;2;3
97;18;7.4;1;2;2;2;3
98;14;7.9;0;2;2;2;3
99;10;11.0;0;3;1;1;1
100;8;8.4;0;6;3;1;1
101;13;11.8;0;10;1;1;3
102;15;6.4;0;4;3;1;1
103;10;7.1;1;3;3;1;2
104;10;10.7;1;5;1;1;1
105;17;9.6;1;8;2;1;2
106;10;10.3;1;6;1;3;1
107;8;8.9;0;5;2;3;1
108;10;7.7;1;2;3;2;3
109;14;9.9;1;5;1;3;1
110;9;9.7;0;3;1;1;3
111;14;10.3;0;6;1;3;1
112;10;9.5;1;4;2;2;1
113;15;12.1;0;7;1;3;3
114;16;7.9;1;4;3;2;2
115;9;8.0;0;5;3;3;1
116;12;14.5;0;10;1;2;2
117;9;10.2;1;8;2;1;2
118;8;7.4;0;2;2;2;2
119;9;10.7;1;7;3;2;2
120;16;10.4;0;6;2;3;3
121;14;9.4;0;5;2;3;1
122;16;9.5;0;2;1;1;1
123;15;8.1;0;8;3;3;3
124;14;7.8;0;5;2;1;1
125;14;6.8;0;3;3;3;1
126;12;14.4;0;13;2;2;3
127;9;11.3;0;8;1;3;3
128;13;13.5;1;11;1;1;3
129;15;11.7;1;8;1;2;2
130;9;7.8;0;3;2;3;3
131;10;9.4;0;8;3;3;1
132;14;11.0;0;7;2;3;3
133;16;9.0;0;7;2;2;3
134;8;10.8;0;7;2;1;2
135;16;7.5;0;4;3;3;3
136;16;6.8;0;2;3;1;3
137;8;10.9;0;7;1;1;2
138;18;13.9;0;7;1;2;1
139;15;7.4;0;2;2;2;1
140;17;12.0;0;11;3;1;1
141;13;10.9;1;14;3;1;2
142;11;5.1;0;3;3;3;2
143;16;9.1;0;7;2;1;1
144;16;6.1;1;5;3;1;1
145;10;12.3;1;6;1;3;2
146;9;9.3;0;2;1;3;2
147;14;8.0;0;4;3;3;3
148;8;10.6;0;4;1;1;2
149;18;8.8;0;4;2;3;1
150;18;7.1;0;6;3;1;3
151;17;11.9;1;10;3;2;1
152;12;11.9;0;12;2;1;3
153;10;6.6;0;2;2;3;1
154;18;7.8;0;6;2;1;3
155;17;10.3;0;9;2;1;1
156;14;11.3;0;2;1;2;2
157;10;7.6;1;4;2;2;2
158;9;10.4;0;7;2;3;2
159;10;10.7;0;6;1;1;1
160;8;10.8;0;6;1;1;1
161;18;10.4;1;7;1;1;3
162;18;7.6;1;5;3;1;3
163;9;8.8;0;6;2;3;2
164;18;11.5;0;4;1;1;3
165;12;13.5;1;9;1;3;1
166;14;11.7;0;5;1;1;1
167;13;10.9;0;14;3;3;3
168;11;10.9;1;8;2;3;2
169;12;10.2;1;8;3;3;2
170;9;6.5;0;3;3;3;1
171;18;9.0;0;4;2;1;1
172;16;9.4;1;7;2;3;3
173;8;8.3;1;4;2;3;1
174;8;10.4;0;2;1;1;1
175;17;13.8;0;12;2;2;3
176;13;14.9;0;12;1;2;3
177;11;8.0;1;4;2;3;2
178;10;11.7;1;5;1;3;3
179;16;9.0;0;2;1;3;1
180;15;8.2;0;5;3;1;2
181;11;9.8;0;8;3;1;2
182;13;10.1;1;12;3;3;3
183;8;5.7;0;3;3;3;2
184;12;15.0;1;13;1;1;1
185;17;9.7;1;8;3;1;2
186;12;13.6;1;10;1;2;1
187;18;11.6;1;8;2;2;1
188;12;14.0;0;12;1;1;3
189;12;14.3;1;11;1;3;2
190;12;13.0;0;12;3;2;1
191;9;7.4;1;2;2;3;3
192;8;10.0;1;5;2;2;2
193;18;8.9;0;7;2;1;3
194;18;8.2;0;7;3;3;2
195;17;12.2;0;11;2;2;1
196;15;9.7;0;4;1;1;1
197;14;10.6;1;4;1;3;2
198;14;11.2;0;7;2;2;1
199;10;7.8;0;5;3;3;2
200;16;7.2;0;2;3;3;3
